100×13 DataFrame
 Row │ seed1   iteration  depositDist                       network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      LogNormal…                        SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  25 │ 110710          5  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  502982  2025-06-20T20:23:35.160-110710-5…    false      false
  26 │ 110710          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(6480, [[2, 3,…            10           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  746997  2025-06-20T20:23:35.160-110710-7…    false      false
  27 │ 110710          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(13019, [[2, 3…            20           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  495971  2025-06-20T20:23:35.160-110710-4…    false      false
  28 │ 110710          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(32476, [[2, 3…            50           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  719694  2025-06-20T20:23:35.160-110710-7…    false      false
  29 │ 110710          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(324778, [[2, …           500           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  313473  2025-06-20T20:23:35.160-110710-3…    false      false
  30 │ 110710          6  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  819757  2025-06-20T20:23:35.160-110710-8…    false      false
  31 │ 110710          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(6480, [[2, 3,…            10           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  543162  2025-06-20T20:23:35.160-110710-5…    false      false
  32 │ 110710          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(13019, [[2, 3…            20           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  582657  2025-06-20T20:23:35.160-110710-5…    false      false
  33 │ 110710          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(32476, [[2, 3…            50           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  538089  2025-06-20T20:23:35.160-110710-5…    false      false
  34 │ 110710          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(324778, [[2, …           500           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  213242  2025-06-20T20:23:35.160-110710-2…    false      false
  35 │ 110710          7  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  420224  2025-06-20T20:23:35.160-110710-4…    false      false
  36 │ 110710          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(6480, [[2, 3,…            10           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  783541  2025-06-20T20:23:35.160-110710-7…    false      false
  37 │ 110710          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(13019, [[2, 3…            20           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  147734  2025-06-20T20:23:35.160-110710-1…    false      false
  38 │ 110710          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(32476, [[2, 3…            50           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  462670  2025-06-20T20:23:35.160-110710-4…    false      false
  39 │ 110710          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(324778, [[2, …           500           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  183397  2025-06-20T20:23:35.160-110710-1…    false      false
  40 │ 110710          8  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  823644  2025-06-20T20:23:35.160-110710-8…    false      false
  41 │ 110710          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(6480, [[2, 3,…            10           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0   73732  2025-06-20T20:23:35.160-110710-7…    false      false
  42 │ 110710          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(13019, [[2, 3…            20           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  921810  2025-06-20T20:23:35.160-110710-9…    false      false
  43 │ 110710          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(32476, [[2, 3…            50           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  779638  2025-06-20T20:23:35.160-110710-7…    false      false
  44 │ 110710          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(324778, [[2, …           500           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  771108  2025-06-20T20:23:35.160-110710-7…    false      false
  45 │ 110710          9  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  126326  2025-06-20T20:23:35.160-110710-1…    false      false
  46 │ 110710         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(6480, [[2, 3,…            10           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  893151  2025-06-20T20:23:35.160-110710-8…    false      false
  47 │ 110710         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(13019, [[2, 3…            20           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  939325  2025-06-20T20:23:35.160-110710-9…    false      false
  48 │ 110710         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(32476, [[2, 3…            50           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0    1990  2025-06-20T20:23:35.160-110710-1…    false      false
  49 │ 110710         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(324778, [[2, …           500           0.3  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  695530  2025-06-20T20:23:35.160-110710-6…    false      false
  50 │ 110710         10  LogNormal{Float64}(μ=1.0, σ=2.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…          0.25                       0.0  641010  2025-06-20T20:23:35.160-110710-6…    false      false
